Institution,Conference,G,BA,OBPct,R,AB,H,2B,3B,TB,HR,RBI,BB,HBP,SF,SH,K,OppDP,CS,Picked,SB,IBB,RBI2out
NIU,MAC,38,0.25,0.351,173,"1,176",294,48,4,398,16,153,160,31,16,21,274,28,14,7,49,2,
NJIT,America East,34,0.265,0.375,207,"1,140",302,59,10,474,31,183,167,41,13,15,326,9,13,5,53,1,
Norfolk St.,MEAC,39,0.258,0.337,189,"1,206",311,58,13,449,18,174,112,41,19,7,354,21,25,7,68,,
North Ala.,ASUN,38,0.255,0.35,182,"1,239",316,63,3,436,17,159,152,34,8,16,323,24,28,9,74,2,
North Carolina,ACC,41,0.278,0.377,256,"1,476",410,75,7,664,55,240,181,61,10,5,357,21,8,1,50,5,
North Dakota St.,Summit League,36,0.275,0.381,215,"1,186",326,59,3,508,39,198,170,41,11,26,331,14,20,9,54,,
North Florida,ASUN,41,0.283,0.35,229,"1,430",405,73,9,562,22,198,130,24,15,15,334,27,18,4,55,3,
Northeastern,CAA,42,0.234,0.323,190,"1,368",320,53,10,447,18,166,121,62,8,20,291,34,24,7,76,3,
Northern Colo.,Summit League,38,0.264,0.358,187,"1,237",326,48,11,471,25,171,149,39,9,15,357,22,13,9,31,2,
Northern Ky.,Horizon,39,0.272,0.364,241,"1,328",361,78,6,562,37,226,164,35,12,27,356,21,13,9,30,5,
Northwestern,Big Ten,36,0.276,0.38,250,"1,198",331,80,7,560,45,229,160,47,12,20,289,16,12,3,25,1,
Northwestern St.,Southland,40,0.247,0.367,240,"1,271",314,58,6,474,30,214,183,66,15,17,356,21,12,4,27,,
Notre Dame,ACC,35,0.292,0.375,284,"1,248",364,67,12,581,42,253,137,42,20,17,265,11,11,5,46,2,
Oakland,Horizon,39,0.276,0.374,253,"1,281",354,60,8,529,33,208,187,23,19,17,341,22,27,10,82,1,
Ohio,MAC,35,0.29,0.393,246,"1,159",336,75,8,523,32,225,172,37,19,14,285,27,10,1,19,2,
Ohio St.,Big Ten,36,0.271,0.369,228,"1,225",332,59,8,533,42,198,164,36,15,15,284,37,13,3,19,3,
Oklahoma,Big 12,39,0.291,0.411,280,"1,294",377,75,10,562,30,242,219,58,19,20,344,31,26,14,94,9,
Oklahoma St.,Big 12,41,0.278,0.381,282,"1,414",393,80,8,627,46,257,200,44,16,17,364,28,11,5,40,4,
Old Dominion,C-USA,38,0.311,0.408,359,"1,382",430,86,10,800,88,329,199,39,19,9,329,23,11,6,57,5,
